행정구역,2024년_거주자_총인구수,2024년_거주자_연령구간인구수,2024년_거주자_0~9세,2024년_거주자_10~19세,2024년_거주자_20~29세,2024년_거주자_30~39세,2024년_거주자_40~49세,2024년_거주자_50~59세,2024년_거주자_60~69세,2024년_거주자_70~79세,2024년_거주자_80~89세,2024년_거주자_90~99세,2024년_거주자_100세 이상,2024년_남_거주자_총인구수,2024년_남_거주자_연령구간인구수,2024년_남_거주자_0~9세,2024년_남_거주자_10~19세,2024년_남_거주자_20~29세,2024년_남_거주자_30~39세,2024년_남_거주자_40~49세,2024년_남_거주자_50~59세,2024년_남_거주자_60~69세,2024년_남_거주자_70~79세,2024년_남_거주자_80~89세,2024년_남_거주자_90~99세,2024년_남_거주자_100세 이상,2024년_여_거주자_총인구수,2024년_여_거주자_연령구간인구수,2024년_여_거주자_0~9세,2024년_여_거주자_10~19세,2024년_여_거주자_20~29세,2024년_여_거주자_30~39세,2024년_여_거주자_40~49세,2024년_여_거주자_50~59세,2024년_여_거주자_60~69세,2024년_여_거주자_70~79세,2024년_여_거주자_80~89세,2024년_여_거주자_90~99세,2024년_여_거주자_100세 이상
서울특별시 성동구 (1120000000),"130,445","130,445",22,428,"15,158","23,610","21,425","24,893","23,636","13,383","7,084",796,10,"81,150","81,150",13,183,"7,206","14,158","14,229","17,075","16,304","8,184","3,503",289,6,"49,295","49,295",9,245,"7,952","9,452","7,196","7,818","7,332","5,199","3,581",507,4
서울특별시 성동구 왕십리제2동(1120052000),"7,330","7,330",0,8,617,"1,441","1,212","1,472","1,392",756,383,48,1,"4,536","4,536",0,3,249,868,802,"1,021",941,451,186,14,1,"2,794","2,794",0,5,368,573,410,451,451,305,197,34,0
서울특별시 성동구 왕십리도선동(1120053500),"12,042","12,042",2,14,"1,330","2,342","2,097","2,408","2,054","1,107",620,68,0,"7,148","7,148",2,3,472,"1,279","1,411","1,599","1,411",651,303,17,0,"4,894","4,894",0,11,858,"1,063",686,809,643,456,317,51,0
서울특별시 성동구 마장동(1120054000),"10,704","10,704",5,76,"2,006","1,622","1,269","1,944","1,927","1,177",609,69,0,"6,668","6,668",3,35,983,"1,031",869,"1,317","1,357",756,287,30,0,"4,036","4,036",2,41,"1,023",591,400,627,570,421,322,39,0
서울특별시 성동구 사근동(1120055000),"8,130","8,130",0,244,"4,068","1,158",571,745,607,435,279,23,0,"4,864","4,864",0,101,"2,299",735,392,490,423,255,158,11,0,"3,266","3,266",0,143,"1,769",423,179,255,184,180,121,12,0
서울특별시 성동구 행당제1동(1120056000),"6,407","6,407",1,14,836,"1,233","1,074","1,241","1,039",600,333,36,0,"3,922","3,922",1,7,361,730,720,817,727,369,179,11,0,"2,485","2,485",0,7,475,503,354,424,312,231,154,25,0
서울특별시 성동구 행당제2동(1120057000),"9,105","9,105",0,1,228,"1,401","1,685","2,102","1,830","1,163",617,76,2,"5,988","5,988",0,0,96,945,"1,164","1,519","1,263",681,286,33,1,"3,117","3,117",0,1,132,456,521,583,567,482,331,43,1
서울특별시 성동구 응봉동(1120058000),"5,861","5,861",1,0,173,851,"1,264","1,372","1,079",660,417,44,0,"3,837","3,837",1,0,94,554,829,992,737,399,212,19,0,"2,024","2,024",0,0,79,297,435,380,342,261,205,25,0
서울특별시 성동구 금호1가동(1120059000),"6,362","6,362",3,3,210,"1,001","1,298","1,247","1,319",835,399,47,0,"3,957","3,957",1,3,82,613,887,848,848,487,171,17,0,"2,405","2,405",2,0,128,388,411,399,471,348,228,30,0
서울특별시 성동구 금호2.3가동(1120061500),"9,455","9,455",1,3,417,"1,734","1,830","1,923","1,831","1,073",584,59,0,"5,888","5,888",1,1,208,"1,088","1,192","1,272","1,200",638,267,21,0,"3,567","3,567",0,2,209,646,638,651,631,435,317,38,0
서울특별시 성동구 금호4가동(1120062000),"6,309","6,309",1,3,211,"1,114","1,347","1,234","1,193",768,382,54,2,"3,861","3,861",0,0,97,697,887,807,747,438,173,14,1,"2,448","2,448",1,3,114,417,460,427,446,330,209,40,1
서울특별시 성동구 옥수동(1120064500),"10,541","10,541",2,8,275,"1,971","2,414","2,086","1,985","1,105",611,83,1,"6,608","6,608",1,5,96,"1,213","1,597","1,381","1,300",686,301,27,1,"3,933","3,933",1,3,179,758,817,705,685,419,310,56,0
서울특별시 성동구 성수1가제1동(1120065000),"7,300","7,300",2,7,598,"1,511","1,125","1,570","1,514",648,289,35,1,"4,674","4,674",1,4,284,890,724,"1,088","1,104",419,147,13,0,"2,626","2,626",1,3,314,621,401,482,410,229,142,22,1
서울특별시 성동구 성수1가제2동(1120066000),"5,743","5,743",1,5,635,"1,313",941,"1,030",975,539,283,21,0,"3,534","3,534",0,2,298,735,572,708,701,357,155,6,0,"2,209","2,209",1,3,337,578,369,322,274,182,128,15,0
서울특별시 성동구 성수2가제1동(1120067000),"7,375","7,375",1,10,545,"1,263","1,003","1,482","1,830",828,376,37,0,"4,795","4,795",1,5,260,755,666,"1,038","1,330",529,197,14,0,"2,580","2,580",0,5,285,508,337,444,500,299,179,23,0
서울특별시 성동구 성수2가제3동(1120069000),"4,929","4,929",1,10,628,"1,120",725,849,840,482,248,24,2,"3,104","3,104",0,6,279,611,470,611,642,326,147,11,1,"1,825","1,825",1,4,349,509,255,238,198,156,101,13,1
서울특별시 성동구 송정동(1120072000),"5,161","5,161",0,9,607,912,744,990,"1,096",536,243,24,0,"3,280","3,280",0,4,300,546,503,700,762,334,119,12,0,"1,881","1,881",0,5,307,366,241,290,334,202,124,12,0
서울특별시 성동구 용답동(1120079000),"7,691","7,691",1,13,"1,774","1,623",826,"1,198","1,125",671,411,48,1,"4,486","4,486",1,4,748,868,544,867,811,408,215,19,1,"3,205","3,205",0,9,"1,026",755,282,331,314,263,196,29,0
